"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 22 10:16:21 MSK 2021","Mon Feb 22 10:16:38 MSK 2021","17105","Gradle suite","Gradle test","AmazonTests","AmazonTests","LoginTest","LoginTest",""
"passed","Mon Feb 22 10:58:48 MSK 2021","Mon Feb 22 10:59:05 MSK 2021","17449","Gradle suite","Gradle test","AmazonTests","AmazonTests","AmazonTest","AmazonTest",""
